date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:19:50	3132/3132	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225c52d92e-c3c%22	https://wantedfornothing.com/wp-content/uploads/2019/01/zeplin.svg	C:/Users/zero/Desktop/single%204/wantedfornothing.com/wp-content/uploads/2019/01/zeplin.svg	(from https://wantedfornothing.com/services/ui-design/)
00:19:50	3968/3968	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225c52d7f3-f80%22	https://wantedfornothing.com/wp-content/uploads/2019/01/invision.svg	C:/Users/zero/Desktop/single%204/wantedfornothing.com/wp-content/uploads/2019/01/invision.svg	(from https://wantedfornothing.com/services/ui-design/)
00:19:51	10777/10777	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e42b717-2a19%22	https://wantedfornothing.com/wp-content/mmr/613e102b-1549626794.min.js	C:/Users/zero/Desktop/single%204/wantedfornothing.com/wp-content/mmr/613e102b-1549626794.min.js	(from https://wantedfornothing.com/services/ui-design/)
00:19:51	37192/37192	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e42b717-9148%22	https://wantedfornothing.com/wp-content/mmr/031d13b1-1568887136.min.js	C:/Users/zero/Desktop/single%204/wantedfornothing.com/wp-content/mmr/031d13b1-1568887136.min.js	(from https://wantedfornothing.com/services/ui-design/)
00:19:52	2264/2264	---MCZ	200	added ('OK')	application/json	date:Tue,%2008%20Jun%202021%2018:49:53%20GMT	https://wantedfornothing.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwantedfornothing.com%2Fservices%2Fux-design%2F	C:/Users/zero/Desktop/single%204/wantedfornothing.com/wp-json/oembed/1.0/embed565d.json	(from https://wantedfornothing.com/services/ux-design/)
00:19:52	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2008%20Jun%202021%2018:49:53%20GMT	https://wantedfornothing.com/?p=106	C:/Users/zero/Desktop/single%204/wantedfornothing.com/index153d.html	(from https://wantedfornothing.com/services/ux-design/)
00:19:52	2359/2359	---MCZ	200	added ('OK')	text/xml	date:Tue,%2008%20Jun%202021%2018:49:53%20GMT	https://wantedfornothing.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwantedfornothing.com%2Fservices%2Fux-design%2F&format=xml	C:/Users/zero/Desktop/single%204/wantedfornothing.com/wp-json/oembed/1.0/embed2cab	(from https://wantedfornothing.com/services/ux-design/)
00:19:53	999/999	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225c52d97d-3e7%22	https://wantedfornothing.com/wp-content/uploads/2019/01/figma.svg	C:/Users/zero/Desktop/single%204/wantedfornothing.com/wp-content/uploads/2019/01/figma.svg	(from https://wantedfornothing.com/services/ux-design/)
00:19:53	2259/2259	---MCZ	200	added ('OK')	application/json	date:Tue,%2008%20Jun%202021%2018:49:54%20GMT	https://wantedfornothing.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwantedfornothing.com%2Fservices%2Fbranding%2F	C:/Users/zero/Desktop/single%204/wantedfornothing.com/wp-json/oembed/1.0/embed9cb0.json	(from https://wantedfornothing.com/services/branding/)
00:19:53	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2008%20Jun%202021%2018:49:54%20GMT	https://wantedfornothing.com/?p=103	C:/Users/zero/Desktop/single%204/wantedfornothing.com/indexe6f0.html	(from https://wantedfornothing.com/services/branding/)
00:19:53	2354/2354	---MCZ	200	added ('OK')	text/xml	date:Tue,%2008%20Jun%202021%2018:49:54%20GMT	https://wantedfornothing.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwantedfornothing.com%2Fservices%2Fbranding%2F&format=xml	C:/Users/zero/Desktop/single%204/wantedfornothing.com/wp-json/oembed/1.0/embedfd49	(from https://wantedfornothing.com/services/branding/)
00:19:54	2269/2269	---MCZ	200	added ('OK')	application/json	date:Tue,%2008%20Jun%202021%2018:49:55%20GMT	https://wantedfornothing.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwantedfornothing.com%2Fservices%2Fanimations%2F	C:/Users/zero/Desktop/single%204/wantedfornothing.com/wp-json/oembed/1.0/embed92a4.json	(from https://wantedfornothing.com/services/animations/)
00:19:54	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2008%20Jun%202021%2018:49:55%20GMT	https://wantedfornothing.com/?p=100	C:/Users/zero/Desktop/single%204/wantedfornothing.com/index3f5a.html	(from https://wantedfornothing.com/services/animations/)
00:19:54	2364/2364	---MCZ	200	added ('OK')	text/xml	date:Tue,%2008%20Jun%202021%2018:49:55%20GMT	https://wantedfornothing.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwantedfornothing.com%2Fservices%2Fanimations%2F&format=xml	C:/Users/zero/Desktop/single%204/wantedfornothing.com/wp-json/oembed/1.0/embeda4ae	(from https://wantedfornothing.com/services/animations/)
00:19:55	2301/2301	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225c52d9d2-8fd%22	https://wantedfornothing.com/wp-content/uploads/2019/01/adobe-ae.svg	C:/Users/zero/Desktop/single%204/wantedfornothing.com/wp-content/uploads/2019/01/adobe-ae.svg	(from https://wantedfornothing.com/services/animations/)
